hx,hz,chi,D,ξv,ξh,ξ_vumps
0.2,0.365,16,4,2.1345356510370146e7,2365.542461241389,3.780754290894975
0.2,0.365,24,4,0.7943400912071992,0.7943400912071221,0.7943400910767718
0.2,0.375,16,4,7.828943289643842e11,9.007199254740992e15,7.764826943742184e13
0.2,0.375,24,4,1586.5450693654084,3025.9984897379863,2.8452432903867826
0.2,0.37,48,4,0.7875519025746394,0.7875519031879438,0.7875534840909959
0.2,0.385,16,4,2.814749767106555e14,1.501199875790165e15,2.0685548161936262e9
0.2,0.38,48,4,4.094181479427718e14,-Inf,0.7223540802630645
0.2,0.395,16,4,2083.0226996657557,230375.60454611148,1.7608348857132277
0.2,0.395,24,4,690.1837488903442,1382.9171972847244,1.882197460716508
0.2,0.39,48,4,4.74063118670578e14,1.098438933504994e14,7.970972791806138e13
0.2,0.3,36,4,1.206892207045101,1.2068922070430015,1.2068922070881232
0.2,0.3,48,4,1.2136143478592964,1.2136143490809392,1.213614370899473
0.2,0.5,36,4,1.140151804397589e14,2.2517998136852475e15,9.48126237341152e13
0.2,0.5,48,4,3.216856876693206e14,6.433713753386418e14,0.4186745776065488
0.2,0.6,48,4,157.18998533186792,137.70525057706638,0.5040308475555281
0.2,0.7,48,4,392.083020242805,9714.901539878818,0.3703218162499436
0.2,0.8,48,4,4.503599627370496e15,4.503599627370496e15,0.4637594597399151
0.2,0.9,48,4,5.003999585967213e14,4.094181479427718e14,0.27436267802167846
0.2,1.0,36,4,0.2698511664752965,0.26985116648057345,0.2698511889863466
0.2,1.0,48,4,0.3478197857711226,0.3194359555001457,0.34781478037844427
0.305,0.2,16,4,0.6227437751296404,0.6227437751296542,0.6227437751196973
0.305,0.2,24,4,0.6395130189512384,0.6395130189311987,0.6395130200225514
0.315,0.2,16,4,0.6255434006614359,0.6255434006614272,0.6255434006563493
0.315,0.2,24,4,4.416528554647213,4.416528558034789,4.416527731022742
0.31,0.0,16,4,2.4103727287184498,2.410372728592662,2.4103727300452795
0.31,0.0,24,4,0.9088694779317225,0.9088694779311562,0.9088694780009116
0.31,0.0,36,4,0.9713639482321055,0.9713639482318625,0.9713639507902156
0.31,0.1,16,4,0.4047265231103529,0.4047265231103285,0.4046291674861081
0.31,0.1,16,6,0.723329811574973,0.7233298115749711,0.7233298192303632
0.31,0.31,16,4,1.2618102031647052,1.2618102031644807,1.2618102031755913
0.31,0.31,24,4,7.037682281395861,7.0376823041146075,7.037682015956614
0.31,0.39,16,4,2.664909553220383,2.664909553214129,2.664909553009214
0.31,0.39,24,4,0.6710885345390589,0.6710885345590849,0.6710885362560377
0.325,0.1,48,4,0.4423272509920448,0.4423272509439305,0.44232724992439465
0.325,0.25,48,4,7.473135585099951,7.4731355865771185,7.473135568692154
0.325,0.2,48,4,0.6356162955174957,0.6356162926177806,0.6354381098865348
0.325,0.31,48,4,1.2626812298338956,1.2626812298222208,1.262681229936088
0.325,0.325,48,4,1.4951124259226136,1.495112425930709,1.4951121009805965
0.325,0.32,48,4,1.403908310430648,1.4039083104650116,1.4039083126927963
0.325,0.33,48,4,0.8844321409525293,0.8844321409508793,0.8844321409131527
0.325,0.34,48,4,5.8152952137034,5.81529521166257,5.815295244960102
0.325,0.38,48,4,0.7433391386683236,0.7433391386572162,0.7433391732942424
0.325,0.39,48,4,0.6827686775255695,0.6827686773611567,0.682773370033854
0.325,0.5,48,4,0.43358232733577307,0.4335823253902128,0.4336116213565016
0.325,0.6,48,4,3.752999689475408e14,9.007199254740992e15,0.3631540077138288
0.325,0.7,48,4,4.503599627370496e15,2.047090739713857e14,0.3126848755375937
0.325,0.8,48,4,6.92861481133922e14,4.503599627370496e15,0.2370464435588481
0.325,0.9,48,4,1.501199875790165e15,1.1258999068426235e15,0.2644152815879443
0.325,1.0,48,4,9.007199254740988e14,4.503599627370496e15,0.28441214524933883
0.32,0.0,16,4,1.286742750677284e15,2.2636841555011313e12,4.872480315171243
0.32,0.0,24,4,1.1295762932526832,1.1295762932505473,1.129576293271162
0.32,0.0,36,4,1.2504290899239492,1.250429089916794,1.2504290923748869
0.32,0.1,16,4,0.4204593382351357,0.42045933823664505,0.4204812843546497
0.32,0.1,36,4,0.43056545694009896,0.4305654576035732,0.4305654564405282
0.32,0.2,36,4,0.6287508484081782,0.6287508484234848,0.6287508388297396
0.32,0.32,16,4,1.3870700406297383,1.3870700406298253,1.387070040631505
0.32,0.32,24,4,2.8469334597074995e9,1.5823312746306232e10,1.3959152355595534
0.32,0.32,36,4,1.4106087167512094,1.4106087167426578,1.4106087168075083
0.32,0.33,36,4,1.6121945400098165,1.612194540005235,1.6121945385599148
0.32,0.34,36,4,1.9083080748083967,1.9083080748026382,1.908308074733951
0.32,0.36,48,4,3.9161735890178175e14,9.007199254740992e15,0.9024697326625296
0.32,0.37,48,4,6.948666626261469,6.948666629785497,6.877530763495925
0.32,0.38,16,4,977.6030323630388,3.721092300942607e6,2.596249355782972
0.32,0.38,24,4,0.7401114115988653,0.7401114116022032,0.7401114096362942
0.32,0.39,48,4,5.486513557551677,5.486513374555217,5.483162518021439
0.32,0.3,36,4,1.1513073795145448,1.1513073795207114,1.1513073802627645
0.32,0.5,36,4,0.4267772059563387,0.42677720595376023,0.4267772134271158
0.32,0.5,48,4,4.094181479427718e14,6.433713753386418e14,0.42444020172080926
0.32,0.6,48,4,9.007199254740988e14,4.503599627370496e15,0.380114326565672
0.32,0.7,48,4,2.2517998136852475e15,4.503599627370491e14,0.30059413343403907
0.32,0.8,48,4,2.2517998136852475e15,9.007199254740988e14,0.254025431046282
0.32,0.8,48,6,0.3809916495080534,0.3809916495081902,0.3809916360380298
0.32,0.9,48,4,1.1258999068426235e15,4.503599627370496e15,0.32589202420567476
0.32,0.9,48,6,0.3424312551965699,0.34243125519588485,0.3424332491670149
0.32,1.0,36,4,2.196877867009993e14,5.003999585967213e14,0.22530462840161927
0.32,1.0,48,4,4.503599627370496e15,5.629499534213115e14,0.22146264884381317
0.335,0.2,16,4,0.6188651667271886,0.6188651667271837,0.6188651667506507
0.335,0.2,24,4,0.6317004751126616,0.6317004750404536,0.6317005544821795
0.33,0.0,16,4,1.7826052779929609,1.7826052778976575,1.7826286935561033
0.33,0.0,24,4,2.0570383739902587,2.05703837388956,2.073705868172328
0.33,0.0,36,4,1.8444221786675976,1.8444221787242208,1.8444221780218175
0.33,0.1,16,4,0.44356811276647135,0.44356811276632996,0.44357569328603214
0.33,0.1,36,4,0.45491271253210164,0.45491271262314015,0.4549127116056096
0.33,0.1,48,4,0.4550421951219252,0.45504219501674353,0.45502815656529083
0.33,0.25,48,4,3.752999689475408e14,6.433713753386418e14,0.8172689738603681
0.33,0.2,36,4,6.433713753386418e14,2.2517998136852475e15,0.6282119175835986
0.33,0.2,48,4,0.6369251455378736,0.6369251455346799,0.6369251982610697
0.33,0.31,48,4,1.2652810942037829,1.2652810942115398,1.2652810962382202
0.33,0.325,48,4,1.483565451702168,1.4835654517487917,1.4835655768954583
0.33,0.32,36,4,1.3987094388264962,1.398709438829681,1.398709441386411
0.33,0.32,48,4,1.3931181277811968,1.3931181277829328,1.3931181261382097
0.33,0.335,48,4,5.538583565802639,5.53858356383347,5.538583584988257
0.33,0.33,16,4,3.4783066503850755,3.4783066518757093,3.478306610113377
0.33,0.33,24,4,1.5656068032602,1.5656068032563755,1.5656068012640332
0.33,0.33,48,4,1.5980316666127856,1.5980316664196264,1.5980316656056468
0.33,0.34,36,4,5.249919140433604,5.249919141834392,5.249919119756822
0.33,0.34,48,4,5.468081572197427,5.468081574028039,5.468081550935393
0.33,0.36,48,4,2.917660233933295,2.917660233938475,2.910462300760489
0.33,0.37,16,4,1.501199875790165e15,9.007199254740992e15,2.971356754916825
0.33,0.37,24,4,4.091470496889961,4.091470497623676,4.091470483632478
0.33,0.3,36,4,1.1473310213556487,1.1473310213824741,1.147331016111242
0.33,0.3,48,4,1.1513098178210757,1.1513098177835097,1.1513098115257847
0.33,1.0,36,4,0.24146735349123152,0.24146735277879017,0.2414676612974036
0.345,0.2,16,4,0.616913111553816,0.6169131115538156,0.6169131115427072
0.345,0.2,24,4,0.6274207835088323,0.6274207834851535,0.6274207616864939
0.34,0.0,16,4,9.433908941016405,9.43390893641091,9.433909044278183
0.34,0.0,24,4,9.141634429350377,9.14163443173688,9.14163439229341
0.34,0.0,36,4,2.2667536732704567,2.2678906023307888,2.2678905964051728
0.34,0.1,16,4,0.4697135891859416,0.4697135891870481,0.46971358918773715
0.34,0.1,36,4,0.4827223494006111,0.48272234935252956,0.48272234955167453
0.34,0.2,36,4,0.6329598040106615,0.6329598040082882,0.6329598221415655
0.34,0.32,36,4,1.3954261152737308,1.395426115266059,1.3954261149236564
0.34,0.33,36,4,1.5723662665157736,1.5723662665140863,1.5723662710884851
0.34,0.34,16,4,1.273566478658282,1.2735664786567396,1.2735664787625294
0.34,0.34,24,4,1.271368277621208,1.2713682776228648,1.2713682775912958
0.34,0.34,36,4,2.7058628461095093,2.705862846107573,2.7058631170388727
0.34,0.36,16,4,1.1015347315134925,1.1015347314967239,1.1015347315335644
0.34,0.36,24,4,4.010308616611244,4.010308617686284,4.01030860236302
0.34,0.5,36,4,0.4256355575140209,0.4256355575528128,0.42563556675114483
0.34,1.0,36,4,0.26007374268861466,0.26007374268844413,0.26007390496680133
0.34,1.0,48,4,0.3070796338085215,0.3070796336248987,0.3070796421129727
0.355,0.2,16,4,0.6284576109477971,0.628457610947795,0.6284576109485589
0.355,0.2,24,4,0.6273178373295543,0.6273178373328446,0.6273178373331249
0.35,0.0,16,4,4.787161596474978,4.787161597148454,4.787058472773523
0.35,0.0,24,4,5.137600684005726,5.137600684407464,5.137600677827055
0.35,0.0,36,4,6.14093082826235,6.140930827872304,6.140930833751041
0.35,0.1,16,4,0.49992118025646926,0.49992118025661264,0.49992118026072885
0.35,0.25,48,4,0.8135502232322668,0.8135502232921781,0.8135502472469007
0.35,0.31,48,4,1.2365913103828174,1.2365913103859623,1.236591314751149
0.35,0.325,48,4,1.4579323046132981,1.4579323046090407,1.4579323243115343
0.35,0.335,48,4,1.666465232062911,1.6664652320675069,1.6664652979950632
0.35,0.33,48,4,1.5574483465032616,1.5574483465065845,1.557448362738166
0.35,0.34,48,4,2.3290884466052946,2.3290884465754775,2.3290884512262817
0.35,0.34,48,6,1.2291781467018728,1.2291781467041902,1.2291781466456362
0.35,0.35,16,4,1.076097656039559,1.0760976560390725,1.0760976233267021
0.35,0.35,24,4,1.0691538413794586,1.0691538413813466,1.0691538413641197
0.35,0.35,48,4,1.089340556865056,1.0893405568812566,1.0893406139902235
0.35,0.36,48,4,0.777058231981457,0.777058231981326,0.7770582313458939
0.35,0.38,48,4,4.270730750189656,4.270730749338169,4.2707307541938695
0.35,0.39,48,4,4.205432033377368,4.205432032610693,4.205432037196931
0.35,0.3,48,4,2.7894404715332217,2.789440471542737,2.7894404714566363
0.35,0.5,48,4,0.41219576520332324,0.4121957647053504,0.41219513383569034
0.35,0.6,48,4,2.2517998136852475e15,4.094181479427718e14,0.3549829488575154
0.35,0.7,48,4,3.00239975158033e15,1.8014398509481978e15,0.31309875651509256
0.35,0.7,48,6,0.37568911585416376,0.3756891158541196,0.375689115809897
0.35,0.8,48,4,7.505999378950821e14,3.752999689475408e14,0.2779767742058214
0.35,0.9,48,4,1.501199875790165e15,1.501199875790165e15,0.2435932661496519
0.35,1.0,48,4,3.105930777496889e14,2.3703155933528878e14,7.63321970740757e13
