 Count  Overhead File                    Line Function
     1         0 …mpiler/methodtable.jl    68 #findall#309
     1         0 …mpiler/methodtable.jl    95 _findall
     1         0 …ractinterpretation.jl   523 abstract_call_method(interp::Core…
     1         0 …compiler/utilities.jl    31 all
     1         1 …compiler/utilities.jl    27 _all(f::Any, a::Core.SimpleVector)
     1         0 …ractinterpretation.jl   111 abstract_call_gf_by_type(interp::…
     1         0 …ractinterpretation.jl   823 abstract_call_method_with_const_a…
     1         0 …ractinterpretation.jl   853 abstract_call_method_with_const_a…
     1         0 …ractinterpretation.jl  1278 const_prop_call(interp::Core.Comp…
     1         1 …ler/ssair/inlining.jl  1388 compute_inlining_cases(info::Core…
     1         0 …ractinterpretation.jl  3044 abstract_eval_basic_statement(int…
     1         0 …/compiler/ssair/ir.jl  2001 compact!
     1         0 …/compiler/ssair/ir.jl  2001 compact!(code::Core.Compiler.IRCo…
     1         0 …/compiler/ssair/ir.jl   724 IncrementalCompact
     1         0 …/compiler/ssair/ir.jl   692 Core.Compiler.IncrementalCompact(…
     1         0 …/compiler/ssair/ir.jl   218 Core.Compiler.InstructionStream(l…
     2         0 …entation/functions.jl   230 tensorcontract
     2         1 …sChainRulesCoreExt.jl    20 rrule(::typeof(TensorOperations.t…
     2         0 @Base/partr.jl           186 multiq_check_empty()
     2         0 …ors/factorizations.jl   581 _create_svdtensors(t::TensorMap{C…
     2         0 @Base/reshapedarray.jl   281 setindex!
     2         0 @Base/subarray.jl        384 setindex!
     2         2 @Base/int.jl              83 <
     2         2 …eRules/src/adjoint.jl     ? adjoint
     2         2 @Base/partr.jl           138 multiq_deletemin()
     2         0 @Base/operators.jl       379 >
     2         0 @Base/abstractarray.jl  1209 iterate
     2         0 @Base/abstractarray.jl  1312 getindex
     2         0 @Base/abstractarray.jl  1358 _getindex
     2         0 …s/ctmrg/sequential.jl    64 ctmrg_iteration
     2         2 @Base/partr.jl           147 multiq_deletemin()
     2         2 @Base/partr.jl             ? multiq_deletemin()
     2         0 …s/ctmrg/sequential.jl    49 ctmrg_leftmove
     2         0 …s/ctmrg/sequential.jl    78 sequential_projectors
     2         0 …y/diffable_threads.jl    13 rrule(config::Zygote.ZygoteRuleCo…
     2         2 …eRules/src/adjoint.jl    72 _pullback
     2         0 …ctmrg_contractions.jl     ? renormalize_top_corner
     2         0 …s/tensoroperations.jl   311 _contract!(α::One, A::TensorMap{C…
     2         0 …indexmanipulations.jl    36 permute!
     2         0 …ided/src/mapreduce.jl   152 _mapreduce_block!(f::TensorOperat…
     2         0 …ided/src/mapreduce.jl   329 macro expansion
     2         0 …ided/src/mapreduce.jl   330 macro expansion
     2         0 …ided/src/mapreduce.jl   201 _mapreduce_threaded!(f::TensorOpe…
     2         1 …lection/reflection.jl    75 meta(T::Any; types::Any, world::A…
     2         0 …entation/allocator.jl    53 promote_contract
     2         2 …lection/reflection.jl    52 meta(T::Any; types::Any, world::A…
     2         0 …Algebra/src/bidiag.jl   434 _mul!
     2         0 …gebra/src/diagonal.jl   430 _mul!(out::Base.ReshapedArray{Com…
     2         0 …gebra/src/diagonal.jl   424 _mul_diag!
     2         0 …gebra/src/diagonal.jl   350 __muldiag!(out::Base.ReshapedArra…
     2         0 …gebra/src/diagonal.jl   351 macro expansion
     2         0 @Base/complex.jl         342 *
     2         2 @Base/float.jl           493 *
     2         2 @Base/essentials.jl      916 getindex
     2         0 …ler/ssair/inlining.jl    78 ssa_inlining_pass!
     2         0 …ler/ssair/inlining.jl  1675 assemble_inline_todo!(ir::Core.Co…
     2         0 …ler/ssair/inlining.jl  1421 handle_call!
     3         1 …/utility/rotations.jl    16 rotate_north
     3         0 …indexmanipulations.jl    63 permute
     3         0 …indexmanipulations.jl    75 permute(t::TensorMap{ComplexF64, …
     3         2 …lection/reflection.jl    80 meta(T::Any; types::Any, world::A…
     3         3 @Base/array.jl           987 setindex!
     3         0 …s/ctmrg/sequential.jl    83 #422
     3         0 @Base/partr.jl           142 multiq_deletemin()
     3         0 …ided/src/mapreduce.jl   214 _mapreduce_threaded!(f::TensorOpe…
     3         0 …hreadingconstructs.jl   491 macro expansion
     3         0 @Base/task.jl            833 schedule
     3         3 @Base/task.jl            829 enq_work(t::Task)
     3         0 …4/src/GLib/signals.jl   363 uv_dispatch(src::Ptr{Nothing}, ca…
     3         0 @Base/abstractarray.jl  1088 copyto_unaliased!(deststyle::Inde…
