hx,hz,chi,D,E,infinite_tHooft,infinite_Wilson,infinite_Wilson_odd,FMstring,PKstring_odd
0.0,0.45,16,4,-2.185713854933798,0.0031750152269616784 - 4.960749872334487e-14im,0.9999996427296838 + 1.2319254323088825e-16im,NaN + NaN*im,0.0008914351713364756,0.012077636725866873
0.0,0.45,36,4,-2.1857194678663365,0.011018521302618123 + 1.5313571162061496e-10im,0.9999993416953874 - 4.284260910980397e-17im,NaN + NaN*im,0.001762944769743532,0.0014117847078246577
0.1,0.1,36,4,-2.0100718436350777,0.05957152578737732 + 6.652782961226422e-11im,-0.9987040832683188 + 7.929282290985888e-16im,NaN + NaN*im,0.5808270305787893,0.009396339117454274
0.1,0.25,16,4,-2.0384278143354804,0.057072739008744745 + 3.684154391507645e-14im,0.9987257317249189 - 1.305800506145686e-15im,NaN + NaN*im,0.7213732779772181,0.005993709843541341
0.1,0.26,16,4,-2.041390655637898,0.057040685271628574 - 1.8933819489720462e-14im,0.9987263367655209 - 5.580586977886541e-16im,NaN + NaN*im,0.7228596614990996,0.00725337937573317
0.1,0.27,16,4,-2.044519418819183,0.05686590664774261 - 3.605570766990116e-14im,0.9987309045778126 + 2.501605640838489e-16im,NaN + NaN*im,0.7250391395545097,0.00897655005940051
0.1,0.28,16,4,-2.0478247301706785,0.05669001136755035 - 3.6213028833927395e-14im,0.9987336724102263 - 7.013503704013264e-16im,NaN + NaN*im,0.7274648123289362,0.023645210431954066
0.1,0.29,16,4,-2.051322564235249,0.05653157739732384 + 1.1020789161913275e-14im,0.9987377347833649 + 9.37540256774821e-17im,NaN + NaN*im,0.7296475600371738,0.017746691823990707
0.1,0.2,36,4,-2.0258409848388244,0.05904167330904727 - 4.890464779225169e-11im,-0.9987160672824797 + 1.2198237617697853e-15im,NaN + NaN*im,0.5884872083273189,0.004932328505498843
0.1,0.2,48,4,-2.0201677007424044,0.9960936998057437 + 3.603391847890572e-15im,0.9442545143327076 - 2.0541047547777435e-15im,NaN + NaN*im,1.7585874521113496e-5,0.017923059018982394
0.1,0.31,16,4,-2.0589551742031262,0.056126804096498846 - 8.283537365054589e-14im,0.9987460536950907 + 1.0813642454186174e-16im,NaN + NaN*im,0.7374858742197079,0.018036891709103536
0.1,0.32,16,4,-2.063136918128554,0.055883728005652 + 3.1314481976166697e-14im,0.9987520535478168 + 5.345247095230802e-16im,NaN + NaN*im,0.7418884330169438,0.014611197731563401
0.1,0.32,36,4,-2.0631424292464926,0.05705031586061023 - 3.221864240191535e-11im,0.9987521528341192 - 2.1330096262194237e-16im,NaN + NaN*im,0.6368882874416079,0.009425096070613441
0.1,0.33,16,4,-2.0678413608281874,0.0548158739924986 - 6.600884951897736e-14im,0.9987749406354327 + 1.1877163063798845e-15im,NaN + NaN*im,0.7641166199979813,0.030873457117554466
0.1,0.33,36,4,-2.067615914441723,0.05596938207650647 + 2.2433856746603964e-12im,0.9987586720641533 + 1.7551285883121643e-16im,NaN + NaN*im,0.719634004283948,0.00979817430709748
0.1,0.34,16,4,-2.0738684094821656,0.05349533219823086 - 5.490106971776612e-14im,0.9988032404269664 - 5.960582712540621e-16im,NaN + NaN*im,0.7955636250147583,0.01832628963713441
0.1,0.34,36,4,-2.07386662438678,0.05418691568125186 + 1.6660761665395588e-12im,0.9988030845382347 + 6.218179639242669e-16im,NaN + NaN*im,0.7324261643571213,0.009465799892971024
0.1,0.35,16,4,-2.081033051453714,0.052316149202320486 - 1.1635615313232606e-14im,0.9988294878430666 + 5.5337383281714265e-16im,NaN + NaN*im,0.8244064906636088,0.010405197495181937
0.1,0.36,16,4,-2.0891493072708287,0.05136132919054421 + 2.2381289116920647e-14im,0.998851304556322 + 4.325374267886353e-16im,NaN + NaN*im,0.8480825450826972,0.01127122230731767
0.1,0.37,16,4,-2.098085428219986,0.05052036829943654 - 2.782838354624207e-14im,0.9988711719806904 - 1.3140802254225912e-15im,NaN + NaN*im,0.8684786933647413,0.01875752811070577
0.1,0.38,16,4,-2.1077396903420853,0.049743115853000355 + 1.801477330070889e-14im,0.9988904009185371 - 1.4413258752433455e-15im,NaN + NaN*im,0.88600893737606,0.009349171057374537
0.1,0.39,16,4,-2.1180356829357003,0.049049986134257144 + 2.7553696196394543e-14im,0.9989087469077274 + 7.645060009958333e-16im,NaN + NaN*im,0.9005703925869432,0.017474870185014906
0.1,0.3,16,4,-2.055027871360922,0.05634148665724133 - 7.161367526819898e-15im,0.9987415523379317 - 2.0174796962292573e-15im,NaN + NaN*im,0.7334436320243453,0.02589006839321884
0.1,0.3,36,4,-2.05013938665945,0.06280501353684403 - 3.541541798570468e-16im,-0.9984138689985158 + 1.2758613502044513e-16im,NaN + NaN*im,0.675585081983093,0.005992292560849565
0.1,0.41,16,4,-2.1402921390191056,0.047898857533330445 - 2.2011837015686852e-14im,0.9989393156037406 - 6.364297066859918e-16im,NaN + NaN*im,0.924175992442242,0.010574532079216534
0.1,0.42,16,4,-2.152150185049271,0.047344359293570254 + 6.932611924195188e-15im,0.9989557237345909 + 6.286522146638225e-16im,NaN + NaN*im,0.9331786015758362,0.01034920882785342
0.1,0.43,16,4,-2.1644375427752305,0.04686532780516885 + 8.172518586326102e-15im,0.9989699505511647 - 1.3811098973595776e-16im,NaN + NaN*im,0.9407471283462504,0.02198912850018339
0.1,0.44,16,4,-2.177118817400803,0.046409637829082036 - 6.682459936726792e-16im,0.9989840683651022 - 6.148984589376721e-16im,NaN + NaN*im,0.9471457859284189,0.01159247428420736
0.1,0.45,16,4,-2.1901670258460384,0.04601782765100544 + 5.2532356080981425e-15im,0.9989966181530009 + 1.9840455540730629e-16im,NaN + NaN*im,0.952494376924551,0.009544648299452002
0.1,0.4,16,4,-2.1289037792438754,0.048444894589959785 + 1.1738206632247725e-14im,0.9989245199488906 + 4.488343466433996e-16im,NaN + NaN*im,0.9133381496057446,0.014537254735756715
0.1,1.0,36,4,-3.1290667316154503,0.03466186508415434 - 5.336861088548551e-14im,0.9994035934591855 + 6.838639120051532e-17im,NaN + NaN*im,0.9934410116737523,0.007351321462605647
0.255,0.2,16,4,-2.0552138472881936,0.206543793206761 + 6.546174391489693e-15im,0.9895757567331308 + 4.1492877482354054e-17im,NaN + NaN*im,0.5815797417080194,0.00928405758935826
0.255,0.2,24,4,-2.0552147470342197,0.21071138932580671 - 2.92265479548459e-12im,0.9895640884872217 - 6.815714150170327e-16im,NaN + NaN*im,0.505531188615307,0.011053327838134407
0.25,0.0,16,4,-2.033441698191323,0.3804295934206449 + 1.5791874856512703e-16im,-0.9892688197805659 - 4.87813229023794e-16im,NaN + NaN*im,0.37828023008859424,0.01899198739184542
0.25,0.0,24,4,-2.0334348649968623,0.31714032720178986 - 1.8131081355069502e-13im,-0.9893530250592346 + 1.954533885995134e-16im,NaN + NaN*im,0.4367708643911598,0.004937303926897508
0.25,0.0,36,4,-2.033285460972111,0.2610350491921656 + 6.861849164591032e-14im,-0.9897840601202994 + 4.605349415507986e-16im,NaN + NaN*im,0.5058218601457806,0.009936199878505842
0.25,0.1,16,4,-2.0381587702933777,0.20230982884599133 + 3.94893261682082e-15im,-0.9899897007132783 - 5.61410086098501e-16im,NaN + NaN*im,0.5785899874434821,0.024118005778163042
0.25,0.1,16,6,-2.0384065722641345,0.26190225848772264 - 3.3067824915605866e-16im,-0.9894736546344078 + 2.252981945538917e-16im,NaN + NaN*im,0.6311313026316505,0.00755818632298037
0.25,0.1,48,4,-2.0381777054782306,0.20819914151088745 - 1.4975190199561131e-10im,-0.9899872883593623 - 1.7622368309043412e-16im,NaN + NaN*im,0.45014336870017835,0.0051668129762062415
0.25,0.25,16,4,-2.0603018121993997,-0.9894835149482681 + 1.6478705025806705e-15im,0.9001575408967866 - 6.931672165898727e-16im,NaN + NaN*im,1.0933519283931348e-5,0.014297030798952436
0.25,0.25,24,4,-2.0662300147492387,0.1980119362724394 + 5.60594431038335e-14im,0.9901949800216668 - 7.647857980767615e-16im,NaN + NaN*im,0.5845712663178068,0.010428802742135852
0.25,0.2,48,4,-2.053793223256454,0.20572973629697483 + 1.3256209303751188e-9im,0.9900941108313707 + 5.687772024751478e-16im,NaN + NaN*im,0.4564224852315587,0.015569477741629662
0.25,0.31,48,4,-2.0864571639538103,0.19691819191220686 + 7.295461798563162e-12im,0.9904094712819372 - 5.409752318610553e-16im,NaN + NaN*im,0.5214757996378985,0.009226660666181464
0.25,0.325,48,4,-2.092713051519914,0.19486026109032478 - 1.658966354171777e-11im,-0.9904917424874384 + 8.12698928697587e-16im,NaN + NaN*im,0.5288422458075956,0.005670470823792087
0.25,0.32,48,4,-2.090560201727982,0.19566674762642258 - 1.4673188577703497e-11im,0.9904597556081095 + 6.070628633921941e-16im,NaN + NaN*im,0.5251542312312737,0.002634301103959325
0.25,0.335,48,4,-2.0972507412767216,0.18985857143125517 - 9.446880963144968e-14im,-0.9905744782488405 + 2.9428891322953314e-16im,NaN + NaN*im,0.6023005188545736,0.0017476889422150743
