hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
0.32,0.33,36,4,-2.117827689152934,1.612194540136773,1.6121945401570321,0.29799045015913744 - 2.833317148547554e-12im,-0.9812224828641893 + 1.673846047809097e-16im
0.32,0.34,36,4,-2.122416827390801,1.9083080745553462,1.9083080745214769,0.29478338898665707 + 5.314089000440532e-14im,-0.9814373149416926 + 1.2685050600008804e-15im
0.32,0.36,48,4,-2.1368240446387814,4.075655771375965e13,5.629499534213115e14,0.2547801129641736 + 2.1867320666303966e-14im,0.9834919935479217 + 3.498665792822875e-16im
0.32,0.37,48,4,-2.1151316652393803,6.948666649299228,6.94866665442477,0.9786814828887942 + 3.55883433142272e-16im,0.9154545685381448 + 6.205220069863419e-17im
0.32,0.39,48,4,-2.1215394746490674,5.563975433935952,5.5653769303824046,0.9764075445750977 + 2.5167316891123412e-15im,0.8860228869619494 - 3.9230438357319925e-16im
0.32,0.3,36,4,-2.1057451693259073,1.1513073795006084,1.1513073794861495,0.30472150420456007 + 3.1213914700991024e-13im,-0.9807901246553005 + 3.251121044961592e-16im
0.32,0.5,36,4,-2.301765258442463,1.1258999068426235e15,-Inf,0.17958403285481173 - 7.201358760416525e-15im,0.9882123306407533 + 1.980216687042793e-16im
0.32,0.5,48,4,-2.301778360890281,4.503599627370491e14,5.003999585967213e14,0.17939362182784963 - 1.0928252671749707e-14im,0.988220368224721 - 3.817402025249435e-17im
0.32,0.6,48,4,-2.454761558010622,8.188362958855442e14,4.094181479427718e14,0.1569481298675064 + 3.348518734105732e-14im,0.989940775207125 - 4.747522581477096e-16im
0.32,0.7,48,4,-2.6214801234825345,2.501999792983604e14,7.505999378950821e14,0.14239295232385807 - 2.4788927228240253e-14im,0.9911745331063024 - 1.0615154325141865e-15im
0.32,0.8,48,4,-2.7965405598735984,1.501199875790165e15,4.503599627370496e15,0.13213390899052152 + 5.05194774498108e-16im,0.9921035537845677 + 1.1656794376163956e-16im
0.32,0.8,48,6,-2.796566807699686,0.3809916495061601,0.3809916495071466,0.16413584843166704 + 1.6389202468209515e-15im,0.9920204546509513 + 2.854517227196114e-16im
0.32,0.9,48,4,-2.9770891592603275,1.501199875790165e15,1.1258999068426235e15,0.1240955711513539 + 1.1568954186825626e-14im,0.9928541218792408 - 2.8226396992906237e-16im
0.32,0.9,48,6,-2.9770661501180085,0.3424312551957385,0.34243125519795214,0.13182741049634192 - 2.5914342059473182e-15im,0.9928356036017542 - 6.757466656990453e-16im
0.32,1.0,36,4,-3.1614390377220096,6.004799503160656e14,-Inf,0.11727621842190362 + 7.211109649142062e-16im,0.9934738852110233 + 7.454032800458426e-16im
0.32,1.0,48,4,-3.16144028643225,3.216856876693206e14,7.505999378950821e14,0.11754809309215415 - 1.0338077894183656e-14im,0.9934754307307119 - 2.408623901822455e-16im
0.33,0.1,36,4,-2.0660356231806682,0.4549127125287782,0.45491271267227745,0.3433798887159176 + 7.14020226203444e-12im,-0.9777030413059664 + 1.7371643884308336e-16im
0.33,0.1,48,4,-2.066032741127075,4.094181479427718e14,4.503599627370496e15,0.3434580640028087 + 1.9363662442960607e-11im,0.9776988830457821 - 7.560912084676961e-16im
0.33,0.25,48,4,-2.0936950606786477,9.007199254740992e15,4.503599627370491e14,-0.33103678695861194 + 6.089838693964687e-14im,0.9783071732660397 + 2.891049573714109e-16im
0.33,0.2,36,4,-2.081447335897009,3.464307405669607e14,1.8382039295389728e14,-0.3352631409926011 - 1.9972872797264137e-13im,0.9780144059003767 - 7.553040739236661e-16im
0.33,0.2,48,4,-2.081450009522014,-Inf,9.007199254740988e14,0.3387516452420873 + 9.84005325669808e-12im,-0.9780165965271255 - 7.242862549729079e-16im
0.33,0.31,48,4,-2.113524746925278,1.265281094189729,1.2652810941877854,0.3249747810358877 + 1.290165166730462e-11im,-0.9789440680681923 + 7.70372570978867e-16im
0.33,0.325,48,4,-2.119622173793967,1.4835654517367611,1.4835654516484127,0.31905673822527486 - 3.184944751416398e-12im,0.9791882298645779 + 1.6127093073648075e-16im
