hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
0.38,0.2,48,4,-2.1055357814610387,0.6593359718597094,0.6593360260693933,0.4767149035599869 + 5.616124973992619e-12im,0.9618852887407272 - 1.1903746597797379e-16im
0.38,0.31,48,4,-2.145087731889494,3.6877519730634556,3.687751971829489,0.987586464859908 - 4.2383667828198066e-16im,0.8000529706620445 - 4.39784386849245e-16im
0.38,0.335,48,4,-2.144606620471853,5.905960215848746,5.905928049394686,0.9803553190059403 + 9.6988530460678e-16im,0.5159530597357068 - 1.7862365126000353e-15im
0.38,0.34,48,4,-2.1584420415432404,1.606536827965463,1.606536827980293,0.9767173111937518 - 8.010822239085859e-16im,-0.6503946904597293 - 1.0322020709607487e-15im
0.38,0.35,48,4,-2.1567122053139873,3.596119635814553,3.596119633773302,0.9836174655331695 - 7.932472068922819e-16im,0.7942603041251646 - 2.825894676238175e-16im
0.38,0.37,48,4,-0.9511548276320376,76.23486731983908,38.10578303260337,-0.9908971026481254 - 0.0017236381375183825im,-0.7505767417757933 - 0.004514317623017902im
0.38,0.38,48,4,-2.1761494000512056,2.0820682491466735,2.0820682489267277,0.9553524828320847 - 4.558588161419636e-16im,0.6544117431580252 + 5.580792612809799e-16im
0.38,0.39,48,4,-2.1871736250154874,3.585240841752733,3.5852408413537136,0.34724927849717313 - 3.228703076029892e-15im,0.9737682887344923 - 5.933756804336663e-16im
0.38,0.3,48,4,-2.1447434828380736,0.5576461913904273,0.5576461913888939,0.985419054295059 - 1.1363368235505819e-15im,0.22401913247655106 - 1.2724464904372676e-15im
0.38,0.4,48,4,-2.1976999896390628,0.6807242324846634,0.6807242324926293,0.3127571357468841 - 2.6841970403317874e-13im,0.9752861488037038 + 1.7579282774996034e-16im
0.38,0.5,48,4,-2.3223138444393125,9.007199254740988e14,3.752999689475408e14,0.23804759064159034 - 1.747541538379461e-14im,0.9813996167914066 + 8.221485790011339e-16im
0.38,0.6,48,4,-2.4736045026529596,-Inf,1.501199875790165e15,0.2018928883143779 - 8.599506751745017e-14im,0.9846371421557657 - 6.18254939691867e-16im
0.38,0.8,48,4,-2.813151573658305,1.218682943280044,1.2186829432670268,0.1777587701459418 + 2.5959198091766716e-15im,0.9882611491656963 - 4.775244677192498e-16im
0.38,0.9,48,4,-2.9928528618030907,4.503599627370491e14,4.74063118670578e14,0.15247580632561175 - 5.729589951642358e-15im,0.9895304051554834 - 3.7360055697973804e-16im
0.38,1.0,48,4,-3.1764746172826377,7.505999378950821e14,5.629499534213115e14,0.14402463381281103 - 1.823094064900528e-15im,0.9905022579404721 - 1.8383288472691679e-16im
0.39,0.25,48,4,-2.1345125357086037,7.764826943742184e13,2.607758904093592e12,0.9927515253254635 + 5.002431716851201e-16im,-0.6101246460522328 - 1.7699139786919303e-16im
0.39,0.2,48,4,-2.1307994976636455,1.0037291966626525,1.0037291966290096,0.995178828789249 + 5.158768453812877e-16im,0.4557645936390816 - 5.160595021486861e-16im
0.39,0.31,48,4,-2.15771874422267,1.6030871543239873,1.6030871542283078,0.9840064787891516 - 2.3682423704592027e-16im,-0.6435048770219871 - 2.595942564730994e-16im
0.39,0.325,48,4,-2.148313592611507,1.372284792866409,1.3722847928440838,0.47942437885801226 + 4.117167769640641e-12im,0.9601008517518632 + 4.3562507101656215e-16im
0.39,0.32,48,4,-2.1497462989783265,5.5251332883682975,5.524056054936845,0.9841074871417659 - 1.1221767276465138e-15im,-0.3453017024830123 - 1.2206032194196585e-15im
0.39,0.33,48,4,-2.1646133569036796,0.726102578146448,0.7261025781461752,0.9809958322400475 + 2.542321514903657e-16im,0.2694893330027123 + 2.0483127962361845e-16im
0.39,0.35,48,4,-2.1721409653172508,143357.04621662502,139721.18798930314,0.9764829034660087 + 5.641070537890193e-10im,0.32698121398803315 + 1.800269038175779e-7im
0.39,0.36,48,4,-2.1679489574777233,3.840811388746969,3.8408113899542577,0.9667077335200999 + 3.5869944398220726e-16im,0.7516308508385788 + 4.71384104068096e-16im
0.39,0.38,48,4,-0.5813897441719149,19.468065465683964,37.30056733871963,-0.9772349921586883 - 0.0019532174465099078im,0.6096220865488772 - 0.0008306648526001763im
0.39,0.3,48,4,-2.138801585665766,1.0887163722384274,1.0887163722430768,0.4900651179746986 - 1.3629593836894721e-13im,0.95895842076413 + 7.918477306677266e-16im
0.3,0.1,36,4,-2.0542609829529304,5.855674980323301e11,2.6907241985733398e11,-0.2820155479503537 - 1.5098161721445637e-11im,-0.983483761471587 - 3.4386524931524844e-16im
0.3,0.2,36,4,-2.0697667192567373,0.6387600778227577,0.6387600779264917,0.2813324568492377 + 4.995212270079825e-10im,0.9836829610329124 - 1.7626490955772386e-15im
0.3,0.32,36,4,-2.1061595990210518,1.432776783100244,1.432776783115852,0.26625568333354066 - 1.4635858673375476e-12im,0.984396614213173 + 1.3158060249982209e-16im
0.3,0.33,36,4,-2.110472670021627,1.633731324357099,1.6337313243407412,0.26384284429379207 - 8.115778443547461e-14im,-0.984530507025998 + 4.06516779170009e-16im
0.3,0.34,36,4,-2.115108439644575,1.9577714766823358,1.9577714767438121,0.2610606647069378 - 2.615545922730329e-12im,-0.9846950634535292 + 5.4283249484312534e-17im
0.3,0.5,36,4,-2.2959219362253136,3.752999689475408e14,1.286742750677284e15,0.16325989961611193 + 3.608555972784381e-14im,0.9899454944448267 - 1.4577259951412113e-15im
0.5,0.2,36,4,-2.2717480259334555,1.3686753532988938,1.368675353134693,0.9964522989664951 + 4.658767057114016e-16im,0.5796765172312255 + 3.8042633029114733e-16im
0.5,0.32,36,4,-2.2955991428049867,2.198633581303192,2.1986335812513125,0.9865086877559666 - 3.714388223744275e-16im,-0.6241482324841291 + 4.311826287788308e-16im
0.5,0.34,36,4,-2.301761539568662,2.242314491109416,2.242314491193545,0.9840532380703252 + 1.7044243578936832e-15im,-0.6256490435895412 + 4.531448713793415e-17im
0.5,0.3,36,4,-2.2920722680085404,1.829899955730162,1.8298999556551876,0.9910057008973244 + 1.0733401489328524e-15im,0.6281650302655676 - 3.4399472830791336e-16im
0.5,0.5,36,4,-2.384945376543682,1.746152175208303,1.7461521748446243,0.7480670667435024 - 1.327984047227755e-15im,0.8964479660723648 - 6.643086028761351e-16im
0.5,1.0,36,4,-3.215449481917501,8.188362958855442e14,-Inf,0.20799325036124028 + 1.0293905301781264e-14im,0.9820420219413816 - 1.8990867485751057e-16im
1.0,0.1,36,4,-3.129043260130267,0.7183067266633424,0.7183067266635912,0.9994066596118989 - 8.400566936579292e-16im,-0.3608440535499654 + 1.78924959158027e-16im
1.0,0.2,36,4,-3.1393519887673156,0.7866216659977445,0.7866216659970617,0.9975762507006782 - 6.463233999925475e-16im,0.3331220070516239 + 8.948902660709708e-17im
1.0,0.32,36,4,-3.1612679073365535,0.8638322020369857,0.8638322020510115,0.9934612191622041 + 2.9613136428240365e-16im,0.35155698944241565 + 3.129530851101336e-16im
1.0,0.33,36,4,-3.1635903188818126,0.8653280379081975,0.8653280379101369,0.9929888378525266 + 7.675755900208786e-16im,0.35581212129285683 - 4.3997183509598967e-16im
1.0,0.34,36,4,-3.1659751395395794,0.8645363156558373,0.8645363156518581,0.9925381745668779 + 2.4151527801168875e-16im,0.36328261765697273 - 1.3588746083477277e-16im
1.0,0.3,36,4,-3.1568635027077043,0.8726162365365034,0.8726162365392787,0.994313391544497 - 7.794283066954017e-16im,0.3517517777557724 - 1.6369229602933966e-16im
1.0,0.5,36,4,-3.2154090325240823,0.9122733869281233,0.912273386930554,0.9817458710097346 + 8.224507396958665e-17im,0.37850085974557696 - 4.3547088108543513e-16im
1.0,1.0,36,4,-3.5818592431598133,0.6653107184334266,0.6653107184576166,0.7634510276691926 + 4.07324065489827e-16im,0.7660192195065088 - 1.323770137637238e-16im
