file,hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
final_Psi_trivial_1e4_hx=0.34_hz=0.5_χ=36_D=4,0.34,0.5,36,4,-2.3081144227484547,0.4256355575456089,0.4256355575776589,0.19715124936699294 + 1.6280805978413192e-13im,0.9862436934312582 - 2.555569507611371e-17im
final_Psi_trivial_1e4_hx=0.34_hz=1.0_χ=36_D=4,0.34,1.0,36,4,-3.1661189211670893,2.2517998136852475e15,4.503599627370496e15,0.12615642887827158 + 1.9606881983788974e-15im,0.9925606940641335 - 2.262446704895127e-16im
final_Psi_trivial_1e4_hx=0.3_hz=0.1_χ=36_D=4,0.3,0.1,36,4,-2.0542609829529304,5.863298564466417e11,2.6907241985733398e11,-0.28201554795035544 - 1.5098206458993084e-11im,-0.983483761471586 + 1.7193262465762407e-16im
final_Psi_trivial_1e4_hx=0.3_hz=0.2_χ=36_D=4,0.3,0.2,36,4,-2.0697667192567373,0.6387600778227591,0.6387600779264919,0.2813324568492364 + 4.995202320163914e-10im,0.9836829610329074 - 4.50910233752316e-16im
final_Psi_trivial_1e4_hx=0.3_hz=0.32_χ=36_D=4,0.3,0.32,36,4,-2.1061595990210518,1.4327767831002503,1.4327767831158722,0.26625568333353955 - 1.4637216716646526e-12im,0.9843966142131682 - 1.8421284349975038e-15im
final_Psi_trivial_1e4_hx=0.3_hz=0.33_χ=36_D=4,0.3,0.33,36,4,-2.110472670021627,1.6337313243546112,1.6337313243379423,0.26384284429379146 - 8.087439706033051e-14im,-0.9845305070259996 + 2.11388725168405e-15im
final_Psi_trivial_1e4_hx=0.3_hz=0.34_χ=36_D=4,0.3,0.34,36,4,-2.115108439644575,1.9577714766959697,1.957771476718244,0.2610606647069377 - 2.6147066931994852e-12im,-0.9846950634535248 - 6.513989938117483e-16im
final_Psi_trivial_1e4_hx=0.3_hz=0.5_χ=36_D=4,0.3,0.5,36,4,-2.2959219362253136,3.602879701896392e14,4.503599627370496e15,0.16325989961611198 + 3.5840514592402295e-14im,0.9899454944448289 - 2.5724576384844926e-16im
final_Psi_trivial_1e4_hx=0.5_hz=0.2_χ=36_D=4,0.5,0.2,36,4,-2.2717480259334555,1.368675353298892,1.3686753531347042,0.9964522989664927 + 3.4940752928355095e-16im,0.5796765172312249 + 2.9263563868549786e-16im
final_Psi_trivial_1e4_hx=0.5_hz=0.32_χ=36_D=4,0.5,0.32,36,4,-2.2955991428049867,2.1986335813032793,2.198633581251319,0.9865086877559637 - 5.3062688910632593e-17im,-0.624148232484131 + 9.950368356434602e-17im
